full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
"Once|outside,|the|playful|toddler|started|throwing",0.37,peele,4.4,0.8944271909999159,strong CoRT,rocks,lawn,7,low cloze,,,,,,,,,,,,,,,,,
Paul|quickly|grabbed|the|beer|and|began|to,0.49,peele,4.0,0.8164965809277259,strong CoRT,drink,spoil,8,low cloze,,,,,,,,,,,,,,,,,
"Satisfied|with|his|dinner,|Harold|let|out|a|huge",0.36,peele,4.5,0.5773502691896257,strong CoRT,burp,joke,9,low cloze,,,,,,,,,,,,,,,,,
Several|girls|fought|over|the|store's|last|remaining,0.33,peele,4.75,0.4999999999999999,strong CoRT,dresses,mug,8,low cloze,,,,,,,,,,,,,,,,,
The|assistant|shouted|in|pain|after|stepping|on|a,0.5,peele,4.0,1.0,strong CoRT,nail,robe,9,low cloze,,,,,,,,,,,,,,,,,
The|boat|sailed|faster|after|tightly|pulling|in|the,0.5,peele,4.75,0.5,strong CoRT,sail,fall,9,low cloze,,,,,,,,,,,,,,,,,
The|children|enjoyed|playing|in|the|park|with|the,0.37,peele,4.4,1.3416407864998738,strong CoRT,dog,thief,9,low cloze,,,,,,,,,,,,,,,,,
The|competition|started|when|they|heard|the,0.35,peele,4.4,0.8944271909999159,strong CoRT,bell,love,7,low cloze,,,,,,,,,,,,,,,,,
The|cranky|neighbor|yelled|at|the|kids|to,0.4,peele,4.0,1.2649110640673518,strong CoRT,stop,thought,8,low cloze,,,,,,,,,,,,,,,,,
The|fans|cheered|when|the|baseball|player|went|to,0.5,peele,4.333333333333333,0.5773502691896257,strong CoRT,bat,did,9,low cloze,,,,,,,,,,,,,,,,,
The|farm|worker|collected|fresh|eggs|from|the,0.41,peele,4.4,0.547722557505166,strong CoRT,chickens,load,8,low cloze,,,,,,,,,,,,,,,,,
The|fat|cat|lazily|swatted|at|the|small,0.38,peele,4.4,0.5477225575051662,strong CoRT,mouse,apple,8,low cloze,,,,,,,,,,,,,,,,,
The|friends|skated|across|the|frozen,0.41,block_baldwin,4.333333333333333,1.2110601416389966,strong CoRT,pond,due,6,low cloze,,,,,,,,,,,,,,,,,
The|horse|broke|the|fence|by|kicking|out|his,0.34,peele,4.25,0.957427107756338,strong CoRT,legs,steal,9,low cloze,,,,,,,,,,,,,,,,,
The|host|made|the|whole|room|dance|an|energetic,0.37,peele,4.5,0.5773502691896257,strong CoRT,jig,knitted,9,low cloze,,,,,,,,,,,,,,,,,
The|huge|monster|thundered|away|with|a,0.41,peele,4.75,0.4999999999999999,strong CoRT,roar,knees,7,low cloze,,,,,,,,,,,,,,,,,
