full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
If|corn|isn't|ready|it|will|be|hard|to,0.43,peele,2.0,0.8164965809277259,strong non-CoRT,eat,boat,9,low cloze,,,,,,,,,,,,,,,,,
"In|her|free|time,|Meredith|really|liked|to",0.49,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,read,built,8,low cloze,,,,,,,,,,,,,,,,,
"In|order|to|stay|in|shape,|Jessica|liked|to",0.46,peele,1.6666666666666667,1.0327955589886444,strong non-CoRT,run,numb,9,low cloze,,,,,,,,,,,,,,,,,
"In|order|to|work,|the|machine|needed|a|copper",0.32,peele,2.0,1.0,strong non-CoRT,wire,lobe,9,low cloze,,,,,,,,,,,,,,,,,
In|sailing|you|have|to|handle|a|lot|of,0.32,peele,2.0,1.0,strong non-CoRT,ropes,can,9,low cloze,,,,,,,,,,,,,,,,,
In|seven|days|the|princess|was|to|be,0.31,peele,1.75,0.9574271077563382,strong non-CoRT,married,mat,8,low cloze,,,,,,,,,,,,,,,,,
In|the|mornings|it|was|hard|for|Jim|to,0.37,peele,1.5,1.224744871391589,strong non-CoRT,wake,sail,9,low cloze,,,,,,,,,,,,,,,,,
It|is|important|for|swimmers|to|learn|how|to,0.34,peele,1.25,0.5,strong non-CoRT,float,relax,9,low cloze,,,,,,,,,,,,,,,,,
It|is|important|not|to|donate|to|a,0.39,peele,1.75,0.957427107756338,strong non-CoRT,scam,sin,8,low cloze,,,,,,,,,,,,,,,,,
Jared|was|so|sure|that|he|was|in|the,0.4,peele,1.4,0.8944271909999159,strong non-CoRT,right,search,9,low cloze,,,,,,,,,,,,,,,,,
Jesse|was|recognized|for|always|wearing|a,0.35,peele,1.75,0.957427107756338,strong non-CoRT,hat,letter,7,low cloze,,,,,,,,,,,,,,,,,
Joe|liked|the|foreign|city|but|didn't|want|to,0.34,peele,2.0,0.6324555320336759,strong non-CoRT,stay,thief,9,low cloze,,,,,,,,,,,,,,,,,
Jordan|learned|a|lot|about|cars|from|his,0.45,peele,1.3333333333333333,0.5773502691896258,strong non-CoRT,dad,scramble,8,low cloze,,,,,,,,,,,,,,,,,
Judith|wanted|her|grandma|to|teach|her|how|to,0.41,peele,1.5,0.5773502691896257,strong non-CoRT,sew,break,9,low cloze,,,,,,,,,,,,,,,,,
Judith|went|to|college|to|learn|how|to,0.42,peele,1.6666666666666667,0.5163977794943223,strong non-CoRT,teach,teeth,8,low cloze,,,,,,,,,,,,,,,,,
Katherine|can't|enter|without|the|code|for|the,0.36,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,door,shirt,8,low cloze,,,,,,,,,,,,,,,,,
Kids|don't|like|that|particular|fruit|because|it's,0.44,peele,1.3333333333333333,0.5163977794943223,strong non-CoRT,sour,fullcub,8,low cloze,,,,,,,,,,,,,,,,,
Leah|claimed|that|the|fanatic|was|not|mentally,0.34,peele,2.0,1.0,strong non-CoRT,ill,late,8,low cloze,,,,,,,,,,,,,,,,,
Lindsay|bought|her|new|sweater|because|of|the|unique,0.35,peele,2.0,1.1547005383792517,strong non-CoRT,pattern,survive,9,low cloze,,,,,,,,,,,,,,,,,
Little|Gracie|said|the|most|boring|place|ever|is,0.47,peele,1.75,1.5,strong non-CoRT,school,fair,9,low cloze,,,,,,,,,,,,,,,,,
Lois|is|taller|than|most,0.35,block_baldwin,1.0,0.0,strong non-CoRT,girls,scream,5,low cloze,,,,,,,,,,,,,,,,,
Marc|claimed|that|the,0.38,peele,2.0,1.1547005383792517,strong non-CoRT,selfcomplicated,sick,4,low cloze,,,,,,,,,,,,,,,,,
Mario|legally|owned|the|property|according|to|the,0.38,peele,1.6,1.3416407864998738,strong non-CoRT,deed,friends,8,low cloze,,,,,,,,,,,,,,,,,
Marlena|thought|Jack's|behavior|was|out|of,0.38,peele,1.3333333333333333,0.5163977794943223,strong non-CoRT,control,eat,7,low cloze,,,,,,,,,,,,,,,,,
Molly|thought|the|table|surface|was|too,0.44,peele,1.6,0.8944271909999159,strong non-CoRT,rough,well,7,low cloze,,,,,,,,,,,,,,,,,
More|than|anything|she|wanted|to|be|his,0.37,peele,2.0,1.4142135623730951,strong non-CoRT,wife,bruise,8,low cloze,,,,,,,,,,,,,,,,,
New|mothers|learn|how|to|get|their|babies|to,0.41,peele,1.5,1.0,strong non-CoRT,sleep,fight,9,low cloze,,,,,,,,,,,,,,,,,
Nick|didn't|understand|the|double|meaning|of|the|ad's,0.37,peele,2.0,0.7071067811865476,strong non-CoRT,message,walk,9,low cloze,,,,,,,,,,,,,,,,,
None|of|the|witnesses|could|describe|the|suspect's,0.5,peele,1.8,0.8366600265340756,strong non-CoRT,face,emerald,8,low cloze,,,,,,,,,,,,,,,,,
Owen|took|a|nap|because|his|day|had|been,0.43,peele,1.8,1.3038404810405295,strong non-CoRT,long,beach,9,low cloze,,,,,,,,,,,,,,,,,
Paige|thought|the|color|of|the|wall|was|rather,0.34,peele,1.8,0.8366600265340756,strong non-CoRT,dull,night,9,low cloze,,,,,,,,,,,,,,,,,
People|talking|too|loudly|had|always|been|Lawrence's,0.31,peele,2.0,1.2247448713915892,strong non-CoRT,peeve,sick,8,low cloze,,,,,,,,,,,,,,,,,
