full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
Her|new|shoes|were|the|wrong,0.91,block_baldwin,1.4285714285714286,1.1338934190276817,strong non-CoRT,size,manure,6,high cloze,easy,True,False,manure,right,0.5,270.0,7
The|burglar|took|the|purse|and|quickly|turned|to,0.73,peele,4.833333333333333,0.4082482904638631,strong CoRT,run,feat,9,high cloze,easy,True,False,feat,right,0.5,0.0,7
"Every|morning,|Kate|is|driven|to|school|by|her",0.43,peele,2.0,0.8944271909999159,strong non-CoRT,mom,tub,9,low cloze,hard,False,True,mom,right,0.5,375.0,7
Even|in|the|most|trying|times|she|kept|her,0.5,peele,2.0,1.224744871391589,strong non-CoRT,cool,hair,9,low cloze,hard,False,True,cool,right,0.5,442.5,7
Everyone|in|the|kitchen|was|startled|when|the|bowl,0.47,peele,4.0,0.7071067811865475,strong CoRT,fell,will,9,low cloze,hard,False,True,fell,right,0.5,172.5,7
The|woman|said|she|had|finally|found,0.36,peele,2.0,0.7071067811865476,strong non-CoRT,love,tip,7,low cloze,hard,True,False,tip,right,0.5,390.0,7
The|gas|station|is|about|two|miles|down|the,0.88,block_baldwin,1.0,0.0,strong non-CoRT,road,late,9,high cloze,easy,False,True,road,right,0.5,262.5,7
The|rowdy|player|was|ejected|after|a|nasty,0.46,peele,4.0,0.0,strong CoRT,fight,village,8,low cloze,hard,True,False,village,right,0.5,210.0,7
Alexis|was|embarrassed|by|her|child's|behavior|in,0.36,peele,1.6,0.8944271909999159,strong non-CoRT,school,cool,8,low cloze,hard,True,False,cool,right,0.5,397.5,7
The|fraternal|twins|were|as|different|as|day|and,0.99,peele,2.0,0.7071067811865476,strong non-CoRT,night,met,9,high cloze,easy,True,False,met,right,0.5,240.0,7
The|gentleman|on|the|bus|offered|the|child|his,0.9,peele,4.25,0.957427107756338,strong CoRT,seat,gate,9,high cloze,easy,False,True,seat,right,0.5,7.5,7
Gigi|fell|yesterday|and|she|broke|a,0.31,peele,4.0,1.224744871391589,strong CoRT,leg,pitcher,7,low cloze,hard,False,True,leg,right,0.5,225.0,7
Some|people|won't|eat|lemons|because|they|are|too,0.75,peele,1.0,0.0,strong non-CoRT,sour,tin,9,high cloze,easy,False,True,sour,right,0.5,345.0,7
As|he|left|the|insulted|man|made|a,0.4,peele,4.8,0.44721359549995787,strong CoRT,gesture,luck,8,low cloze,hard,False,True,gesture,right,0.5,202.5,7
Jane|fried|some|bacon|in|the,0.86,block_baldwin,4.142857142857143,1.4638501094227998,strong CoRT,pan,gag,6,high cloze,easy,True,False,gag,right,0.5,67.5,7
On|her|birthday|she|excitedly|opened|the,0.71,block_baldwin,4.0,1.5491933384829668,strong CoRT,gifts,road,7,high cloze,easy,False,True,gifts,right,0.5,75.0,7
The|soup|was|extremely|hot|and|burned|Matt's,0.74,peele,4.75,0.5,strong CoRT,tongue,turkey,8,high cloze,easy,False,True,tongue,right,0.5,97.5,7
Grace|didn't|like|eating|foods|with|a|lot|of,0.39,peele,1.4,0.5477225575051661,strong non-CoRT,salt,race,9,low cloze,hard,True,False,race,right,0.5,450.0,7
Stacy|was|not|careful|and|spilled|wine|on|her,0.44,peele,4.0,1.4142135623730951,strong CoRT,dress,noises,9,low cloze,hard,False,True,dress,right,0.5,217.5,7
The|chef|wanted|his|steaks|to|have|a|good,0.38,peele,2.0,1.4142135623730951,strong non-CoRT,flavor,suit,9,low cloze,hard,False,True,flavor,right,0.5,405.0,7
The|strong|landscaper|removed|the|tree|root|after|one,0.41,peele,4.2,1.3038404810405295,strong CoRT,pull,dog,9,low cloze,hard,False,True,pull,right,0.5,127.5,7
"When|it's|warm|out,|Jack|likes|going|to|the",0.42,peele,1.6,0.8944271909999159,strong non-CoRT,beach,tongue,9,low cloze,hard,False,True,beach,right,0.5,465.0,7
The|new|family|enclosed|their|yard|with|a,0.97,peele,1.75,0.957427107756338,strong non-CoRT,fence,mountain,8,high cloze,easy,True,False,mountain,right,0.5,330.0,7
Winston's|prized|chess|set|was|missing|a,0.43,peele,1.6,0.5477225575051662,strong non-CoRT,piece,meal,7,low cloze,hard,True,False,meal,right,0.5,427.5,7
Dean|dropped|the|cookies|and|had|to|make|a|fresh,0.95,peele,4.8,0.4472135954999579,strong CoRT,batch,gap,10,high cloze,easy,True,False,gap,right,0.5,90.0,7
After|weeks|at|sea|the|bottle|washed|up|onto,0.83,peele,4.0,0.8164965809277259,strong CoRT,shore,aim,9,high cloze,easy,False,True,shore,right,0.5,105.0,7
It|is|difficult|for|any|large|business|to,0.33,peele,1.6,1.3416407864998738,strong non-CoRT,succeed,rake,8,low cloze,hard,False,True,succeed,right,0.5,457.5,7
The|car|suddenly|appeared|and|Liz|wasn't|able|to,0.35,peele,4.333333333333333,0.5163977794943223,strong CoRT,stop,sleep,9,low cloze,hard,True,False,sleep,right,0.5,120.0,7
"Work|started|in|ten|minutes,|so|Jim|had|to",0.8,peele,4.0,0.8164965809277259,strong CoRT,hurry,hell,9,high cloze,easy,False,True,hurry,right,0.5,15.0,7
Jill|cried|and|said|her|life|had|become|a,0.4,peele,4.0,0.7071067811865475,strong CoRT,mess,class,9,low cloze,hard,True,False,class,right,0.5,187.5,7
The|cargo|at|the|shipyard|fell|with|a|loud,0.33,peele,4.0,0.0,strong CoRT,bang,seagull,9,low cloze,hard,False,True,bang,right,0.5,142.5,7
The|gym|class|knew|the|rope|would|be|a,0.26,block_baldwin,1.1666666666666667,0.40824829046386296,strong non-CoRT,task,dollar,9,low cloze,hard,True,False,dollar,right,0.5,360.0,7
Phil|restarted|the|stalled|lawn|mower|with|a|strong,0.73,peele,4.6,0.5477225575051662,strong CoRT,pull,tip,9,high cloze,easy,False,True,pull,right,0.5,45.0,7
Her|baby|was|not|ready|to|leave|the,0.32,peele,1.75,0.957427107756338,strong non-CoRT,crib,tag,8,low cloze,hard,False,True,crib,right,0.5,412.5,7
The|pirates|escaped|with|a|large|bag|of,0.44,peele,4.75,0.4999999999999999,strong CoRT,gold,noise,8,low cloze,hard,False,True,gold,right,0.5,180.0,7
"Exiting|the|pool,|the|children|were|so|cold|they",0.87,peele,4.4,0.5477225575051661,strong CoRT,shivered,hurt,9,high cloze,easy,True,False,hurt,right,0.5,37.5,7
Jill|is|frustrated|by|people|who|are|always,0.73,peele,1.75,0.5,strong non-CoRT,late,lock,8,high cloze,easy,False,True,late,right,0.5,315.0,7
Chocolate|is|made|from|the|roasted|cacao,0.84,peele,1.8,0.4472135954999579,strong non-CoRT,bean,decision,7,high cloze,easy,False,True,bean,right,0.5,247.5,7
The|expensive|tie|was|made|of,0.89,block_baldwin,1.0,0.0,strong non-CoRT,silk,house,6,high cloze,easy,True,False,house,right,0.5,307.5,7
When|she|was|only|twenty|years|old|she|found,0.41,peele,1.8,1.095445115010332,strong non-CoRT,love,hawk,9,low cloze,hard,False,True,love,right,0.5,435.0,7
