full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
The|bride|smiled|as|she|walked|down|the,0.88,block_baldwin,4.285714285714286,1.1126972805283737,strong CoRT,aisle,bread,8,high cloze,easy,True,False,bread,right,0.5,30.0,7
"After|college,|the|student|had|amassed|a|lot|of",0.76,peele,1.8,0.8366600265340756,strong non-CoRT,debt,kill,9,high cloze,easy,False,True,debt,right,0.5,285.0,7
"After|selecting|the|yarn,|Karen|began|to",0.83,peele,4.0,0.8164965809277259,strong CoRT,knit,awoke,7,high cloze,easy,False,True,knit,right,0.5,22.5,7
May|thought|her|leg|was|taking|too|long|to,0.9,peele,1.2,0.4472135954999579,strong non-CoRT,heal,wanted,9,high cloze,easy,False,True,heal,right,0.5,292.5,7
It’s|hard|to|admit|when|one|is,0.78,block_baldwin,2.0,1.4142135623730951,strong non-CoRT,wrong,year,7,high cloze,easy,True,False,year,right,0.5,277.5,7
The|dog|chased|our|cat|up|the,0.43,block_baldwin,4.166666666666667,1.6020819787597218,strong CoRT,tree,noise,7,low cloze,hard,True,False,noise,right,0.5,150.0,7
"In|class,|Paula|took|out|her|notebook|and",0.42,peele,4.8,0.44721359549995787,strong CoRT,wrote,wrath,8,low cloze,hard,False,True,wrote,right,0.5,195.0,7
Don|didn't|tell|Carmen|secrets|because|she|liked|to,0.49,peele,1.75,0.957427107756338,strong non-CoRT,gossip,soup,9,low cloze,hard,False,True,gossip,right,0.5,382.5,7
I|had|no|key|to|open|the|locked,0.89,block_baldwin,2.0,1.1547005383792517,strong non-CoRT,door,work,8,high cloze,easy,False,True,door,right,0.5,352.5,7
The|woman|applied|concealer|with|a|gentle,0.35,peele,4.8,0.4472135954999581,strong CoRT,touch,walk,7,low cloze,hard,True,False,walk,right,0.5,157.5,7
When|at|the|fair|her|kids|always|have|great,0.45,peele,1.75,0.5,strong non-CoRT,times,mom,9,low cloze,hard,False,True,times,right,0.5,420.0,7
The|reckless|driver|drove|too|quickly|around|the,0.42,peele,4.2,0.44721359549995787,strong CoRT,corner,joy,8,low cloze,hard,False,True,corner,right,0.5,232.5,7
"Most|people,|when|they|eat|fruit,|don't|eat|the",0.31,peele,1.6,0.5477225575051662,strong non-CoRT,seeds,run,9,low cloze,hard,False,True,seeds,right,0.5,367.5,7
"On|vacation,|Amy|liked|to|go|tanning|at|the",0.71,peele,2.0,1.224744871391589,strong non-CoRT,beach,search,9,high cloze,easy,False,True,beach,right,0.5,255.0,7
The|hungry|baby|scrunched|its|face|and|started|to,0.74,peele,5.0,0.0,strong CoRT,cry,lap,9,high cloze,easy,False,True,cry,right,0.5,52.5,7
After|his|divorce|my|neighbor|became|a|lonely,0.46,peele,2.0,1.224744871391589,strong non-CoRT,man,miss,8,low cloze,hard,False,True,man,right,0.5,472.5,7
Joan|fed|her|baby|some|warm,0.88,block_baldwin,4.0,1.4142135623730951,strong CoRT,milk,mace,6,high cloze,easy,False,True,milk,right,0.5,82.5,7
The|skyscraper|was|demolished|because|it|wasn't,0.31,peele,4.0,0.8164965809277259,strong CoRT,safe,leash,7,low cloze,hard,False,True,safe,right,0.5,135.0,7
She|broke|up|with|him|because|it|didn't|feel,0.94,peele,2.0,1.224744871391589,strong non-CoRT,right,cat,9,high cloze,easy,False,True,right,right,0.5,322.5,7
Greg|clutched|his|queasy|stomach|and|began|to,0.47,peele,4.75,0.4999999999999999,strong CoRT,vomit,sleep,8,low cloze,hard,False,True,vomit,right,0.5,165.0,7
She|threw|away|the|old|paper|in|the,0.89,block_baldwin,4.142857142857143,1.4638501094227998,strong CoRT,trash,knot,8,high cloze,easy,False,True,trash,right,0.5,60.0,7
Jake|could|not|choose|because|he|really|wanted,0.71,peele,1.75,0.9574271077563382,strong non-CoRT,both,should,8,high cloze,easy,False,True,both,right,0.5,337.5,7
The|frightened|children|ran|from|the|growling,0.76,peele,4.8,0.44721359549995787,strong CoRT,dog,golf,7,high cloze,easy,False,True,dog,right,0.5,112.5,7
He|slept|quite|deeply|and|was|almost|impossible|to,0.79,peele,1.5,0.8366600265340756,strong non-CoRT,wake,violin,9,high cloze,easy,False,True,wake,right,0.5,300.0,7
