full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
"A|clumsy|toddler,|Serena|often|spilled|her",0.34,peele,4.2,0.8366600265340756,strong CoRT,milk,shell,7,low cloze,hard,False,True,milk,right,0.5,217.5,7
Jim|convinced|her|that|it|was|a|bad|prank|to,0.43,peele,1.75,0.5,strong non-CoRT,pull,vase,10,low cloze,hard,False,True,pull,right,0.5,405.0,7
Everyone|ran|from|the|man|like|he|was|a,0.31,peele,4.8,0.44721359549995787,strong CoRT,monster,cry,9,low cloze,hard,False,True,monster,right,0.5,127.5,7
That|boy|is|always|saying|he'll|someday|be,0.31,peele,2.0,1.7320508075688772,strong non-CoRT,famous,fear,8,low cloze,hard,False,True,famous,right,0.5,465.0,7
"According|to|the|Bible,|murder|is|a",0.96,peele,2.0,0.8164965809277259,strong non-CoRT,sin,hoop,7,high cloze,easy,True,False,hoop,right,0.5,330.0,7
All|the|gym|trainers|were|in|great|shape|and,0.36,peele,2.0,1.4142135623730951,strong non-CoRT,fit,home,9,low cloze,hard,True,False,home,right,0.5,427.5,7
The|quarterback|faked|the|handoff|and|threw|the,0.74,block_baldwin,4.333333333333333,1.6329931618554518,strong CoRT,ball,die,8,high cloze,easy,True,False,die,right,0.5,90.0,7
Jan|tried|to|squeeze|in|but|there|was|no,0.85,block_baldwin,4.142857142857143,0.6900655593423541,strong CoRT,room,fly,9,high cloze,easy,False,True,room,right,0.5,105.0,7
The|British|businessman|was|the|wealthiest|in|the|whole,0.36,peele,1.0,0.0,strong non-CoRT,country,mate,9,low cloze,hard,False,True,country,right,0.5,457.5,7
The|convenience|store|was|robbed|by|a|small,0.37,peele,4.0,0.0,strong CoRT,man,face,8,low cloze,hard,True,False,face,right,0.5,120.0,7
Father|carved|the|turkey|with|a,0.95,block_baldwin,4.285714285714286,1.4960264830861911,strong CoRT,knife,teach,6,high cloze,easy,False,True,knife,right,0.5,15.0,7
Nicola|walked|towards|the|lake|till|she|hit|the,0.44,peele,4.0,1.4142135623730951,strong CoRT,water,push,9,low cloze,hard,True,False,push,right,0.5,187.5,7
Mary|was|upset|she|spilled|coffee|on|her|favorite,0.35,peele,4.75,0.5,strong CoRT,blouse,rang,9,low cloze,hard,False,True,blouse,right,0.5,142.5,7
The|body|builder's|arm|muscles|were|extremely,0.4,peele,1.6,0.5477225575051662,strong non-CoRT,large,fire,7,low cloze,hard,True,False,fire,right,0.5,360.0,7
The|brilliant|yet|clumsy|scientist|broke|a|glass|test,0.84,peele,4.0,1.0,strong CoRT,tube,net,9,high cloze,easy,False,True,tube,right,0.5,45.0,7
Some|people|have|never|had|a|square,0.24,block_baldwin,1.1666666666666667,0.40824829046386296,strong non-CoRT,meal,done,7,low cloze,hard,False,True,meal,right,0.5,412.5,7
The|boys|ran|to|the|car|carrying|their,0.34,peele,4.0,1.1547005383792517,strong CoRT,bags,ignition,8,low cloze,hard,False,True,bags,right,0.5,180.0,7
Riley|ate|the|peach|and|then|she|chucked|the,0.7,peele,4.4,0.8944271909999159,strong CoRT,pit,heat,9,high cloze,easy,True,False,heat,right,0.5,37.5,7
Most|shark|attacks|occur|very|close|to,0.74,block_baldwin,1.6666666666666667,1.0327955589886444,strong non-CoRT,shore,core,7,high cloze,easy,False,True,shore,right,0.5,315.0,7
Without|food|a|man|would|die|in|several,0.74,block_baldwin,2.0,1.095445115010332,strong non-CoRT,days,bun,8,high cloze,easy,False,True,days,right,0.5,247.5,7
After|watching|some|baseball|games|she|became|a,0.8,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,fan,roof,8,high cloze,easy,True,False,roof,right,0.5,307.5,7
The|potatoes|were|seasoned|with|flakes|of|rosemary|and,0.35,peele,2.0,1.4142135623730951,strong non-CoRT,thyme,sweat,9,low cloze,hard,False,True,thyme,right,0.5,435.0,7
He|turned|to|see|the|dog|charging|like|a,0.83,peele,4.4,0.5477225575051662,strong CoRT,bull,pad,9,high cloze,easy,True,False,pad,right,0.5,30.0,7
For|her|school|dance|Becky|needed|a|new,0.77,block_baldwin,2.0,1.1547005383792517,strong non-CoRT,dress,ten,8,high cloze,easy,False,True,dress,right,0.5,285.0,7
The|box|landed|on|the|ground|with|a|dull,0.85,peele,4.25,0.957427107756338,strong CoRT,thud,fell,9,high cloze,easy,False,True,thud,right,0.5,22.5,7
The|couple|needed|an|apartment|at|a|good,0.73,peele,1.4,0.5477225575051662,strong non-CoRT,price,clean,8,high cloze,easy,False,True,price,right,0.5,292.5,7
His|boss|refused|to|give|him|a,0.87,block_baldwin,1.8571428571428568,0.6900655593423541,strong non-CoRT,raise,test,7,high cloze,easy,True,False,test,right,0.5,277.5,7
The|boxer|knocked|out|his|opponent|with|a|sudden,0.48,peele,4.4,1.3416407864998738,strong CoRT,punch,fan,9,low cloze,hard,True,False,fan,right,0.5,150.0,7
They|were|startled|by|the|sudden,0.5,block_baldwin,4.0,1.095445115010332,strong CoRT,noise,night,6,low cloze,hard,False,True,noise,right,0.5,195.0,7
Barry|said|that|accounting|work|was|no,0.35,peele,1.4,0.5477225575051661,strong non-CoRT,fun,mob,7,low cloze,hard,False,True,fun,right,0.5,382.5,7
All|the|guests|had|a|very|good,0.7,block_baldwin,1.5,1.224744871391589,strong non-CoRT,stay,late,7,high cloze,easy,False,True,stay,right,0.5,352.5,7
The|hungry|owl|searched|the|field|for|its,0.47,block_baldwin,4.0,1.095445115010332,strong CoRT,prey,color,8,low cloze,hard,True,False,color,right,0.5,157.5,7
He|wondered|whether|it|was|coincidence|or,0.49,block_baldwin,1.8333333333333333,1.3291601358251257,strong non-CoRT,fate,cancer,7,low cloze,hard,False,True,fate,right,0.5,420.0,7
The|farmer|collected|wood|to|build|a|new,0.32,peele,4.0,1.0,strong CoRT,barn,cough,8,low cloze,hard,False,True,barn,right,0.5,232.5,7
Drake|didn't|like|eating|barbecued|meat|because|of|the,0.37,peele,1.75,0.5,strong non-CoRT,taste,rib,9,low cloze,hard,False,True,taste,right,0.5,367.5,7
The|safest|seats|in|a|car|are|in|the,0.76,peele,1.6,0.8944271909999159,strong non-CoRT,back,color,9,high cloze,easy,False,True,back,right,0.5,255.0,7
The|boy|screamed|after|he|was|stung|by|a,0.81,peele,4.2,0.8366600265340756,strong CoRT,bee,cheer,9,high cloze,easy,False,True,bee,right,0.5,52.5,7
Jeff|felt|like|he|would|never|finish|at|that,0.45,peele,1.3333333333333333,0.5163977794943222,strong non-CoRT,pace,stay,9,low cloze,hard,False,True,pace,right,0.5,472.5,7
The|fisherman|easily|put|the|bait|on|the,0.93,peele,4.4,0.5477225575051661,strong CoRT,hook,job,8,high cloze,easy,False,True,hook,right,0.5,82.5,7
Karen|shrieked|when|she|discovered|the|dead,0.36,peele,4.4,0.5477225575051662,strong CoRT,mouse,feud,7,low cloze,hard,False,True,mouse,right,0.5,135.0,7
The|queen|wasn't|demanding|so|she|was|easy|to,0.76,peele,2.0,1.2649110640673518,strong non-CoRT,please,trails,9,high cloze,easy,False,True,please,right,0.5,322.5,7
Daniel|loved|Annie|and|couldn't|help|but,0.37,peele,4.0,0.8164965809277259,strong CoRT,smile,milk,7,low cloze,hard,False,True,smile,right,0.5,165.0,7
The|accountant|ironed|a|shirt|before|going|to,0.9,block_baldwin,4.0,1.4142135623730951,strong CoRT,work,lies,8,high cloze,easy,False,True,work,right,0.5,60.0,7
Napa|Valley|in|California|is|known|for|making,0.94,peele,1.6,0.8944271909999159,strong non-CoRT,wine,fall,8,high cloze,easy,False,True,wine,right,0.5,337.5,7
When|the|man|entered|the|dog|began|to,0.88,block_baldwin,4.285714285714286,1.1126972805283737,strong CoRT,bark,beard,8,high cloze,easy,False,True,bark,right,0.5,112.5,7
The|cruise|ship|had|a|water|slide|on|the,0.8,peele,2.0,2.0,strong non-CoRT,deck,lair,9,high cloze,easy,False,True,deck,right,0.5,300.0,7
