full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
Susan|bought|a|dress|so|now|she|just|needed|new,0.88,block_baldwin,2.0,0.8164965809277259,strong non-CoRT,shoes,fed,10,high cloze,easy,True,False,fed,right,0.5,270.0,7
The|heavy|book|hit|the|floor|with|a|loud,0.7,peele,4.0,1.0,strong CoRT,thud,fan,9,high cloze,easy,True,False,fan,right,0.5,0.0,7
Jake|hated|the|game|and|he|said|it|wasn't,0.44,peele,1.4,0.5477225575051661,strong non-CoRT,fair,road,9,low cloze,hard,False,True,fair,right,0.5,375.0,7
Alexander|just|knew|that|he|would|win|the|big,0.32,peele,1.6,0.5477225575051662,strong non-CoRT,prize,move,9,low cloze,hard,False,True,prize,right,0.5,442.5,7
The|young|man|quickly|pulled|the|sword|from|the,0.39,peele,4.5,1.0,strong CoRT,sheath,moon,9,low cloze,hard,False,True,sheath,right,0.5,172.5,7
The|cardinals|wondered|which|of|them|would|become|the,0.5,peele,1.5,0.5773502691896257,strong non-CoRT,pope,stamp,9,low cloze,hard,True,False,stamp,right,0.5,390.0,7
He|had|a|long|day|and|was|in|a|bad,0.95,block_baldwin,1.8571428571428568,1.5735915849388862,strong non-CoRT,mood,lure,10,high cloze,easy,False,True,mood,right,0.5,262.5,7
The|excited|crowd|of|people|quickly|formed|a,0.35,peele,4.0,0.0,strong CoRT,mob,failure,8,low cloze,hard,True,False,failure,right,0.5,210.0,7
Not|even|the|cast|liked|the,0.36,block_baldwin,1.8333333333333333,1.6020819787597222,strong non-CoRT,play,rib,6,low cloze,hard,True,False,rib,right,0.5,397.5,7
Leigh|was|late|to|work|because|she'd|lost|her,0.74,peele,2.0,1.224744871391589,strong non-CoRT,keys,clown,9,high cloze,easy,True,False,clown,right,0.5,240.0,7
"During|the|campfire,|the|heavy|smoke|made|Lance",0.74,peele,4.25,0.957427107756338,strong CoRT,cough,tea,8,high cloze,easy,False,True,cough,right,0.5,7.5,7
"Hearing|noises|from|above,|the|confused|man|inspected|the",0.32,peele,4.5,0.8366600265340753,strong CoRT,attic,married,9,low cloze,hard,False,True,attic,right,0.5,225.0,7
In|the|small|town|everyone|can|hear|the|bell,0.71,peele,2.0,1.4142135623730951,strong non-CoRT,ring,wrong,9,high cloze,easy,False,True,ring,right,0.5,345.0,7
"Over|the|summer,|the|boys|went|swimming|at|the",0.5,peele,4.4,0.5477225575051661,strong CoRT,lake,bed,9,low cloze,hard,False,True,lake,right,0.5,202.5,7
The|kids|ran|through|the|sprinklers|on|the|front,0.89,peele,4.75,0.4999999999999999,strong CoRT,lawn,prince,9,high cloze,easy,True,False,prince,right,0.5,67.5,7
The|knight|readied|for|battle|and|drew|his,0.91,block_baldwin,4.142857142857143,1.4638501094227998,strong CoRT,sword,act,8,high cloze,easy,False,True,sword,right,0.5,75.0,7
A|nearby|woman|sprayed|the|robber|with,0.8,peele,4.0,0.7071067811865476,strong CoRT,mace,budge,7,high cloze,easy,False,True,mace,right,0.5,97.5,7
Some|people|don't|enjoy|food|and|only|eat|to,0.38,peele,1.75,0.5,strong non-CoRT,survive,pan,9,low cloze,hard,True,False,pan,right,0.5,450.0,7
