full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
Several|hours|into|his|shift|Lyle|was|ready|for|a,0.78,block_baldwin,1.7142857142857142,0.4879500364742666,strong non-CoRT,break,lick,10,high cloze,easy,True,False,lick,right,0.5,270.0,7
The|officer|barged|in|and|quickly|flashed|his,0.81,peele,4.75,0.5,strong CoRT,badge,shook,8,high cloze,easy,True,False,shook,right,0.5,0.0,7
All|the|professional|athlete|wanted|was|a|back,0.38,peele,2.0,1.0,strong non-CoRT,rub,tent,8,low cloze,hard,False,True,rub,right,0.5,375.0,7
"Lately,|Sam|has|felt|like|he|is|in|a",0.43,peele,1.8,0.8366600265340756,strong non-CoRT,rut,flip,9,low cloze,hard,False,True,rut,right,0.5,442.5,7
Before|descending|the|canyon|we|hiked|the,0.41,peele,4.0,1.1547005383792517,strong CoRT,trail,dress,7,low cloze,hard,False,True,trail,right,0.5,172.5,7
Clay|refused|to|settle|down|and|buy|his|own,0.47,peele,1.8,0.8366600265340756,strong non-CoRT,house,scared,9,low cloze,hard,True,False,scared,right,0.5,390.0,7
"Although|beautiful,|French|is|a|difficult|language|to",0.7,peele,1.8,1.7888543819998317,strong non-CoRT,learn,gown,8,high cloze,easy,False,True,learn,right,0.5,262.5,7
"After|Grace|slipped|on|the|floor,|she|bought|a",0.45,peele,4.0,1.4142135623730951,strong CoRT,rug,wind,9,low cloze,hard,True,False,wind,right,0.5,210.0,7
The|tourists|enjoyed|looking|at|the|scenic,0.39,peele,1.75,0.9574271077563382,strong non-CoRT,view,joke,7,low cloze,hard,True,False,joke,right,0.5,397.5,7
The|bride|spent|weeks|shopping|for|her,0.7,peele,2.0,1.7320508075688772,strong non-CoRT,dress,adult,7,high cloze,easy,True,False,adult,right,0.5,240.0,7
The|kid|gravitated|towards|the|light|like|a,0.71,peele,4.4,0.8944271909999159,strong CoRT,moth,hammer,8,high cloze,easy,False,True,moth,right,0.5,7.5,7
"When|the|building|came|down,|there|was|a|loud",0.49,peele,4.25,0.4999999999999999,strong CoRT,crash,port,9,low cloze,hard,False,True,crash,right,0.5,225.0,7
Shelly|wanted|to|be|a|scientist|working|at|a,0.72,peele,1.25,0.5,strong non-CoRT,lab,trash,9,high cloze,easy,False,True,lab,right,0.5,345.0,7
At|recess|the|younger|children|usually|play,0.42,peele,4.2,0.8366600265340753,strong CoRT,tag,knot,7,low cloze,hard,False,True,tag,right,0.5,202.5,7
April|ran|her|errands|during|her|lunch,0.86,block_baldwin,4.0,0.8164965809277259,strong CoRT,break,gin,7,high cloze,easy,True,False,gin,right,0.5,67.5,7
"When|the|famous|climber|fell,|she|cracked|one",0.73,peele,4.0,0.8164965809277259,strong CoRT,rib,smile,8,high cloze,easy,False,True,rib,right,0.5,75.0,7
Paulina|gave|the|huge|lollipop|a|big,0.88,peele,4.0,1.1547005383792517,strong CoRT,lick,luck,7,high cloze,easy,False,True,lick,right,0.5,97.5,7
There|is|a|bit|of|cyanide|in|each|apple,0.48,peele,2.0,1.4142135623730951,strong non-CoRT,seed,mare,9,low cloze,hard,True,False,mare,right,0.5,450.0,7
Kyle|carefully|scooped|the|honey|out|of|the,0.5,peele,4.6,0.5477225575051661,strong CoRT,jar,sit,8,low cloze,hard,False,True,jar,right,0.5,217.5,7
She|did|not|have|the|right|key|for|the,0.44,block_baldwin,1.1666666666666667,0.40824829046386296,strong non-CoRT,lock,blood,9,low cloze,hard,False,True,lock,right,0.5,405.0,7
"During|the|earthquake,|many|of|the|small|buildings",0.39,peele,4.0,0.0,strong CoRT,collapsed,fit,8,low cloze,hard,False,True,collapsed,right,0.5,127.5,7
The|crazy|old|lady|was|thought|of|as|a,0.45,peele,1.6666666666666667,1.2110601416389968,strong non-CoRT,witch,alive,9,low cloze,hard,False,True,witch,right,0.5,465.0,7
