full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
The|girl|knew|a|lot|for|her,0.8,block_baldwin,1.2857142857142858,0.4879500364742666,strong non-CoRT,age,dry,7,high cloze,easy,True,False,dry,right,0.5,270.0,7
"At|the|nearby|pond,|Jeremy|threw|bread|for|a",0.87,peele,4.25,0.957427107756338,strong CoRT,duck,leg,9,high cloze,easy,True,False,leg,right,0.5,0.0,7
One|must|take|time|out|of|every|day|to,0.36,peele,1.0,0.0,strong non-CoRT,relax,screen,9,low cloze,hard,False,True,relax,right,0.5,375.0,7
For|a|small|horse|she|has|a|very|long,0.47,peele,1.8,1.3038404810405295,strong non-CoRT,tail,toy,9,low cloze,hard,False,True,tail,right,0.5,442.5,7
He|used|his|skateboard|to|grind|along|the,0.38,peele,4.5,0.5773502691896257,strong CoRT,rails,kill,8,low cloze,hard,False,True,rails,right,0.5,172.5,7
Some|clothing|types|don't|last|long|because|they|easily,0.44,peele,2.0,1.224744871391589,strong non-CoRT,tear,peel,9,low cloze,hard,True,False,peel,right,0.5,390.0,7
For|breakfast|Jim|wanted|bacon|and,0.91,block_baldwin,1.4285714285714286,0.7867957924694432,strong non-CoRT,eggs,ball,6,high cloze,easy,False,True,eggs,right,0.5,262.5,7
The|screaming|little|girl|made|the|sitter|very,0.33,peele,4.2,0.8366600265340756,strong CoRT,nervous,tight,8,low cloze,hard,True,False,tight,right,0.5,210.0,7
It|seemed|like|the|girl|was|always|running,0.41,peele,1.75,0.957427107756338,strong non-CoRT,late,argue,8,low cloze,hard,True,False,argue,right,0.5,397.5,7
"Instead|of|a|purebred|dog,|John|chose|a",0.89,peele,2.0,1.7320508075688772,strong non-CoRT,mutt,shape,8,high cloze,easy,True,False,shape,right,0.5,240.0,7
During|the|lecture|Jen|kept|checking|the,0.71,block_baldwin,4.166666666666667,0.7527726527090809,strong CoRT,time,bear,7,high cloze,easy,False,True,time,right,0.5,7.5,7
The|crowd|became|rowdy|after|drinking|too|much|sweet,0.32,peele,4.6,0.5477225575051661,strong CoRT,wine,bug,9,low cloze,hard,False,True,wine,right,0.5,225.0,7
To|afford|a|new|car|Tim|got|a,0.71,block_baldwin,1.8333333333333333,0.7527726527090809,strong non-CoRT,loan,ball,8,high cloze,easy,False,True,loan,right,0.5,345.0,7
"Distracted|while|driving,|Maya|got|stuck|in|the|sticky",0.46,peele,4.0,1.224744871391589,strong CoRT,mud,sunset,9,low cloze,hard,False,True,mud,right,0.5,202.5,7
After|dinner|the|maid|collected|the|family’s,0.78,block_baldwin,4.0,1.4142135623730951,strong CoRT,plates,deer,7,high cloze,easy,True,False,deer,right,0.5,67.5,7
"Descending|the|steps,|the|old|man|clutched|the",0.72,peele,4.0,0.8164965809277259,strong CoRT,railing,patch,8,high cloze,easy,False,True,railing,right,0.5,75.0,7
The|boy|cried|when|he|hurt|his|knee|after|the,0.71,peele,4.8,0.4472135954999579,strong CoRT,fall,steal,10,high cloze,easy,False,True,fall,right,0.5,97.5,7
Bob|planned|to|reopen|the|restaurant|in|the,0.38,peele,2.0,1.224744871391589,strong non-CoRT,fall,eaten,8,low cloze,hard,True,False,eaten,right,0.5,450.0,7
