full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
Be|careful|not|to|touch|the|pan|when|it's,0.99,peele,1.0,0.0,strong non-CoRT,hot,pope,9,high cloze,easy,True,False,pope,right,0.5,270.0,7
Jenny|lit|the|candles|on|the|birthday,0.94,block_baldwin,4.285714285714286,1.4960264830861911,strong CoRT,cake,said,7,high cloze,easy,True,False,said,right,0.5,0.0,7
George|could|not|believe|his|son|stole|a,0.41,block_baldwin,2.0,1.2649110640673518,strong non-CoRT,car,loud,8,low cloze,hard,False,True,car,right,0.5,375.0,7
"In|the|morning,|Kathy|hoped|that|the|birds|wouldn't",0.39,peele,1.5,0.5773502691896257,strong non-CoRT,chirp,pin,9,low cloze,hard,False,True,chirp,right,0.5,442.5,7
To|move|quickly|through|the|crowd|he|began|to,0.42,peele,4.333333333333333,0.5163977794943222,strong CoRT,run,safe,9,low cloze,hard,False,True,run,right,0.5,172.5,7
The|scary|story|had|a|goblin|and|a,0.31,peele,2.0,1.224744871391589,strong non-CoRT,witch,laugh,8,low cloze,hard,True,False,laugh,right,0.5,390.0,7
"For|many|people,|textbooks|are|a|good|learning",0.76,peele,1.0,0.0,strong non-CoRT,tool,vomit,8,high cloze,easy,False,True,tool,right,0.5,262.5,7
Robert|reached|into|the|cabinet|for|a|bottle|of,0.32,peele,4.6,0.5477225575051661,strong CoRT,wine,beer,9,low cloze,hard,True,False,beer,right,0.5,210.0,7
The|baker|said|those|lemons|were|especially,0.4,peele,1.8333333333333333,1.1690451944500122,strong non-CoRT,sour,fight,7,low cloze,hard,True,False,fight,right,0.5,397.5,7
I|could|not|remember|his,0.92,block_baldwin,1.0,0.0,strong non-CoRT,name,nurse,5,high cloze,easy,True,False,nurse,right,0.5,240.0,7
The|dog's|teeth|were|showing|as|he|started|to,0.77,peele,4.5,1.0,strong CoRT,growl,head,9,high cloze,easy,False,True,growl,right,0.5,7.5,7
Debbie|was|disappointed|when|her|paint|began|to,0.32,peele,4.0,0.8164965809277259,strong CoRT,peel,beach,8,low cloze,hard,False,True,peel,right,0.5,225.0,7
The|garbage|from|last|week|had|a|foul,0.9,block_baldwin,1.5714285714285714,1.1338934190276817,strong non-CoRT,smell,book,8,high cloze,easy,False,True,smell,right,0.5,345.0,7
The|weight|of|all|the|family's|shoes|broke|the,0.36,peele,4.5,1.0,strong CoRT,shelf,grades,9,low cloze,hard,False,True,shelf,right,0.5,202.5,7
"While|cooking,|Luke|accidentally|cut|himself|with|a",0.96,peele,4.2,0.8366600265340756,strong CoRT,knife,flavor,8,high cloze,easy,True,False,flavor,right,0.5,67.5,7
The|infant|cried|when|she|got|stung|by|a,0.9,peele,4.2,1.3038404810405295,strong CoRT,bee,doubts,9,high cloze,easy,False,True,bee,right,0.5,75.0,7
She|arrived|at|the|house|riding|a|beautiful,0.71,peele,4.5,1.0,strong CoRT,horse,pair,8,high cloze,easy,False,True,horse,right,0.5,97.5,7
