,display,break,index,full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms
54,trial,,54.0,The|farmer|ran|out|of|bacon|and|slaughtered|the,0.88,peele,4.0,0.8164965809277259,strong CoRT,pig,funeral,9.0,high cloze,easy,True,funeral,right,0.5,67.5,7.0,1.0,3.0,500.0,7000.0
55,trial,,55.0,"Terry|wanted|to|skip|school,|but|she|wouldn't",0.43,peele,1.5,0.5773502691896257,strong non-CoRT,dare,heart,8.0,low cloze,hard,True,heart,right,0.5,375.0,7.0,1.0,3.0,500.0,7000.0
56,trial,,56.0,The|toddler|jumped|but|the|jar|was|out|of,0.82,peele,4.6,0.5477225575051662,strong CoRT,reach,pet,9.0,high cloze,easy,False,reach,right,0.5,60.0,7.0,1.0,3.0,500.0,7000.0
57,trial,,57.0,"Distracted|while|driving,|Maya|got|stuck|in|the|sticky",0.46,peele,4.0,1.224744871391589,strong CoRT,mud,sunset,9.0,low cloze,hard,False,mud,right,0.5,172.5,7.0,1.0,3.0,500.0,7000.0
58,trial,,58.0,The|new|officer|was|of|a|higher,0.81,block_baldwin,1.2857142857142858,0.7559289460184545,strong non-CoRT,rank,pencils,7.0,high cloze,easy,True,pencils,right,0.5,300.0,7.0,1.0,3.0,500.0,7000.0
59,trial,,59.0,Mona|replaced|the|hardwood|floor|in|her|kitchen|with,0.74,peele,4.0,1.0,strong CoRT,tile,change,9.0,high cloze,easy,False,tile,right,0.5,7.5,7.0,1.0,3.0,500.0,7000.0
60,trial,,60.0,"To|cool|down|the|room,|Sami|turned|on|the",0.78,peele,4.0,1.2649110640673518,strong CoRT,fan,race,9.0,high cloze,easy,True,race,right,0.5,37.5,7.0,1.0,3.0,500.0,7000.0
61,trial,,61.0,Casey|didn't|go|to|the|movie|theater,0.45,peele,1.25,0.5,strong non-CoRT,alone,tire,7.0,low cloze,hard,False,alone,right,0.5,412.5,7.0,1.0,3.0,500.0,7000.0
62,trial,,62.0,Susan|bought|a|dress|so|now|she|just|needed|new,0.88,block_baldwin,2.0,0.8164965809277259,strong non-CoRT,shoes,fed,10.0,high cloze,easy,False,shoes,right,0.5,345.0,7.0,1.0,3.0,500.0,7000.0
63,trial,,63.0,"A|natural|leader,|Eve|was|a|great|hospital",0.31,peele,1.8,1.7888543819998317,strong non-CoRT,administrator,tub,8.0,low cloze,hard,True,tub,right,0.5,435.0,7.0,1.0,3.0,500.0,7000.0
64,break,# Well done! You got $${percent_correct}% correct!,,,,,,,,,,,,,,,,,,,,,,
0,trial,,0.0,When|she|examined|the|bag|she|found|a|secret,0.39,peele,4.0,0.7071067811865476,strong CoRT,compartment,moat,9.0,low cloze,hard,False,compartment,right,0.5,217.5,7.0,1.0,4.0,500.0,7000.0
1,trial,,1.0,The|restaurant|made|millions|with|its|famous|secret,0.49,peele,1.6,0.5477225575051662,strong non-CoRT,recipe,high,8.0,low cloze,hard,False,recipe,right,0.5,450.0,7.0,1.0,4.0,500.0,7000.0
